Name,Field,Major,Education,Skills,Projects,Experience
Candidate 200,Business & Finance,Taxation,"Master's in Taxation, Year: Year 2","Supply Chain Management, Accounting, Real Estate, Finance","Taxation Capstone Project, Internship Research on Taxation, Open-source contribution in Taxation",Intern at Morgan Stanley
Candidate 799,Humanities & Social Sciences,Geography,"Bachelor's in Geography, Year: Sophomore","Political Science, Geography, International Relations, Sociology, Psychology","Geography Capstone Project, Internship Research on Geography, Open-source contribution in Geography",Intern at National Geographic
Candidate 936,Medical & Life Sciences,Nursing,"Master's in Nursing, Year: Year 1","Biomedical Engineering, Healthcare, Public Health, Pharmaceutical Sciences","Nursing Capstone Project, Internship Research on Nursing, Open-source contribution in Nursing",Intern at Johnson & Johnson
Candidate 630,Medical & Life Sciences,Biomedical Engineering,"Master's in Biomedical Engineering, Year: Year 1","Pharmaceutical Sciences, Nursing, Public Health","Biomedical Engineering Capstone Project, Internship Research on Biomedical Engineering, Open-source contribution in Biomedical Engineering",Intern at Pfizer
Candidate 798,Humanities & Social Sciences,Psychology,"Bachelor's in Psychology, Year: Freshman","Geography, History, Political Science, International Relations",Psychology Personal Project,Volunteer at United Nations
Candidate 540,Arts & Design,Graphic Design,"Master's in Graphic Design, Year: Year 2","Music, Photography, Fashion Design, Videography","Graphic Design Capstone Project, Internship Research on Graphic Design, Open-source contribution in Graphic Design",Intern at Adobe
Candidate 322,Humanities & Social Sciences,Geography,"Master's in Geography, Year: Year 1","Geography, Political Science, Sociology, Psychology","Geography Capstone Project, Internship Research on Geography, Open-source contribution in Geography",Intern at United Nations
Candidate 857,Business & Finance,Taxation,"Bachelor's in Taxation, Year: Freshman","Finance, Real Estate, Taxation, Supply Chain Management, Investment Banking",N/A,N/A
Candidate 546,Humanities & Social Sciences,Geography,"Master's in Geography, Year: Year 2","Psychology, International Relations, History, Sociology, Political Science","Geography Capstone Project, Internship Research on Geography, Open-source contribution in Geography",Intern at United Nations
Candidate 848,Business & Finance,Finance,"Bachelor's in Finance, Year: Sophomore","Finance, Accounting, Real Estate, Taxation","Finance Capstone Project, Internship Research on Finance, Open-source contribution in Finance",Intern at Goldman Sachs
Candidate 597,Math & Technology,Software Engineering,"Master's in Software Engineering, Year: Year 2","Data Science, Mechanical Engineering, Electrical Engineering, Computer Science, Software Engineering","Software Engineering Capstone Project, Internship Research on Software Engineering, Open-source contribution in Software Engineering",Intern at Google
Candidate 491,Humanities & Social Sciences,International Relations,"Master's in International Relations, Year: Year 1","Geography, History, International Relations, Sociology","International Relations Capstone Project, Internship Research on International Relations, Open-source contribution in International Relations",Intern at United Nations
Candidate 728,Medical & Life Sciences,Nursing,"Bachelor's in Nursing, Year: Junior","Nursing, Biology, Biomedical Engineering","Nursing Capstone Project, Internship Research on Nursing, Open-source contribution in Nursing",Intern at Johnson & Johnson
Candidate 587,Business & Finance,Supply Chain Management,"Master's in Supply Chain Management, Year: Year 1","Accounting, Investment Banking, Taxation, Finance, Real Estate","Supply Chain Management Capstone Project, Internship Research on Supply Chain Management, Open-source contribution in Supply Chain Management",Intern at Deloitte
Candidate 296,Math & Technology,Software Engineering,"Bachelor's in Software Engineering, Year: Sophomore","Electrical Engineering, Mathematics, Mechanical Engineering, Computer Science","Software Engineering Capstone Project, Internship Research on Software Engineering, Open-source contribution in Software Engineering",Intern at Tesla
Candidate 645,Math & Technology,Mechanical Engineering,"Master's in Mechanical Engineering, Year: Year 2","Mechanical Engineering, Electrical Engineering, Mathematics","Mechanical Engineering Capstone Project, Internship Research on Mechanical Engineering, Open-source contribution in Mechanical Engineering",Intern at Apple
Candidate 795,Math & Technology,Mechanical Engineering,"Bachelor's in Mechanical Engineering, Year: Junior","Computer Science, Mathematics, Software Engineering, Data Science, Electrical Engineering","Mechanical Engineering Capstone Project, Internship Research on Mechanical Engineering, Open-source contribution in Mechanical Engineering",Intern at Microsoft
Candidate 632,Math & Technology,Data Science,"Master's in Data Science, Year: Year 1","Computer Science, Electrical Engineering, Mathematics","Data Science Capstone Project, Internship Research on Data Science, Open-source contribution in Data Science",Intern at Meta
Candidate 132,Medical & Life Sciences,Biology,"Master's in Biology, Year: Year 1","Public Health, Biomedical Engineering, Biology, Healthcare","Biology Capstone Project, Internship Research on Biology, Open-source contribution in Biology",Intern at Pfizer
Candidate 758,Business & Finance,Accounting,"Bachelor's in Accounting, Year: Senior","Accounting, Real Estate, Taxation","Accounting Capstone Project, Internship Research on Accounting, Open-source contribution in Accounting",Intern at Deloitte
Candidate 431,Business & Finance,Finance,"Master's in Finance, Year: Year 2","Investment Banking, Accounting, Finance","Finance Capstone Project, Internship Research on Finance, Open-source contribution in Finance",Intern at McKinsey
Candidate 383,Math & Technology,Electrical Engineering,"Master's in Electrical Engineering, Year: Year 1","Mathematics, Data Science, Software Engineering, Electrical Engineering","Electrical Engineering Capstone Project, Internship Research on Electrical Engineering, Open-source contribution in Electrical Engineering",Intern at Microsoft
Candidate 285,Business & Finance,Supply Chain Management,"Bachelor's in Supply Chain Management, Year: Senior","Accounting, Finance, Supply Chain Management","Supply Chain Management Capstone Project, Internship Research on Supply Chain Management, Open-source contribution in Supply Chain Management",Intern at McKinsey
Candidate 600,Humanities & Social Sciences,History,"Bachelor's in History, Year: Senior","Geography, International Relations, Political Science","History Capstone Project, Internship Research on History, Open-source contribution in History",Intern at United Nations
Candidate 725,Math & Technology,Mechanical Engineering,"Bachelor's in Mechanical Engineering, Year: Sophomore","Electrical Engineering, Mathematics, Mechanical Engineering","Mechanical Engineering Capstone Project, Internship Research on Mechanical Engineering, Open-source contribution in Mechanical Engineering",Intern at Tesla
Candidate 751,Arts & Design,Photography,"Bachelor's in Photography, Year: Freshman","Graphic Design, Photography, Fine Arts, Fashion Design, Music",N/A,N/A
Candidate 239,Humanities & Social Sciences,Sociology,"Bachelor's in Sociology, Year: Senior","Psychology, Geography, Sociology","Sociology Capstone Project, Internship Research on Sociology, Open-source contribution in Sociology",Intern at Amnesty International
Candidate 807,Medical & Life Sciences,Biology,"Bachelor's in Biology, Year: Freshman","Biomedical Engineering, Biology, Healthcare, Pharmaceutical Sciences",N/A,N/A
Candidate 267,Humanities & Social Sciences,Psychology,"Bachelor's in Psychology, Year: Senior","Sociology, History, Geography, Psychology, International Relations","Psychology Capstone Project, Internship Research on Psychology, Open-source contribution in Psychology",Intern at Amnesty International
Candidate 748,Arts & Design,Music,"Bachelor's in Music, Year: Junior","Fashion Design, Graphic Design, Photography, Music","Music Capstone Project, Internship Research on Music, Open-source contribution in Music",Intern at Pixar
Candidate 807,Business & Finance,Investment Banking,"Bachelor's in Investment Banking, Year: Junior","Accounting, Investment Banking, Real Estate","Investment Banking Capstone Project, Internship Research on Investment Banking, Open-source contribution in Investment Banking",Intern at Deloitte
Candidate 903,Business & Finance,Supply Chain Management,"Bachelor's in Supply Chain Management, Year: Junior","Real Estate, Taxation, Accounting, Finance","Supply Chain Management Capstone Project, Internship Research on Supply Chain Management, Open-source contribution in Supply Chain Management",Intern at JP Morgan
Candidate 208,Math & Technology,Mechanical Engineering,"Bachelor's in Mechanical Engineering, Year: Junior","Computer Science, Software Engineering, Data Science, Electrical Engineering","Mechanical Engineering Capstone Project, Internship Research on Mechanical Engineering, Open-source contribution in Mechanical Engineering",Intern at Google
Candidate 721,Business & Finance,Taxation,"Bachelor's in Taxation, Year: Freshman","Finance, Real Estate, Taxation",N/A,N/A
Candidate 268,Humanities & Social Sciences,Sociology,"Bachelor's in Sociology, Year: Junior","Geography, Sociology, Psychology, History, International Relations","Sociology Capstone Project, Internship Research on Sociology, Open-source contribution in Sociology",Intern at Amnesty International
Candidate 804,Humanities & Social Sciences,Psychology,"Master's in Psychology, Year: Year 1","History, Psychology, Sociology","Psychology Capstone Project, Internship Research on Psychology, Open-source contribution in Psychology",Intern at Amnesty International
Candidate 561,Arts & Design,Videography,"Bachelor's in Videography, Year: Senior","Videography, Fine Arts, Graphic Design, Music, Fashion Design","Videography Capstone Project, Internship Research on Videography, Open-source contribution in Videography",Intern at Spotify
Candidate 448,Math & Technology,Data Science,"Master's in Data Science, Year: Year 2","Electrical Engineering, Software Engineering, Data Science, Computer Science, Mechanical Engineering","Data Science Capstone Project, Internship Research on Data Science, Open-source contribution in Data Science",Intern at Microsoft
Candidate 348,Medical & Life Sciences,Biology,"Master's in Biology, Year: Year 1","Public Health, Nursing, Pharmaceutical Sciences, Biomedical Engineering, Healthcare","Biology Capstone Project, Internship Research on Biology, Open-source contribution in Biology",Intern at Pfizer
Candidate 149,Math & Technology,Mathematics,"Bachelor's in Mathematics, Year: Freshman","Electrical Engineering, Computer Science, Software Engineering, Mathematics",N/A,N/A
Candidate 508,Math & Technology,Electrical Engineering,"Master's in Electrical Engineering, Year: Year 2","Software Engineering, Data Science, Mathematics, Computer Science, Mechanical Engineering","Electrical Engineering Capstone Project, Internship Research on Electrical Engineering, Open-source contribution in Electrical Engineering",Intern at Microsoft
Candidate 660,Arts & Design,Videography,"Master's in Videography, Year: Year 1","Music, Graphic Design, Fine Arts, Fashion Design","Videography Capstone Project, Internship Research on Videography, Open-source contribution in Videography",Intern at Disney
Candidate 171,Business & Finance,Accounting,"Master's in Accounting, Year: Year 1","Investment Banking, Finance, Supply Chain Management, Real Estate","Accounting Capstone Project, Internship Research on Accounting, Open-source contribution in Accounting",Intern at McKinsey
Candidate 463,Medical & Life Sciences,Nursing,"Bachelor's in Nursing, Year: Junior","Biology, Biomedical Engineering, Healthcare, Pharmaceutical Sciences, Nursing","Nursing Capstone Project, Internship Research on Nursing, Open-source contribution in Nursing",Intern at CDC
Candidate 352,Medical & Life Sciences,Pharmaceutical Sciences,"Bachelor's in Pharmaceutical Sciences, Year: Sophomore","Biology, Nursing, Pharmaceutical Sciences, Biomedical Engineering","Pharmaceutical Sciences Capstone Project, Internship Research on Pharmaceutical Sciences, Open-source contribution in Pharmaceutical Sciences",Intern at Mayo Clinic
Candidate 984,Arts & Design,Videography,"Master's in Videography, Year: Year 2","Music, Videography, Fine Arts","Videography Capstone Project, Internship Research on Videography, Open-source contribution in Videography",Intern at Disney
Candidate 321,Medical & Life Sciences,Public Health,"Bachelor's in Public Health, Year: Junior","Biomedical Engineering, Nursing, Pharmaceutical Sciences, Public Health","Public Health Capstone Project, Internship Research on Public Health, Open-source contribution in Public Health",Intern at CDC
Candidate 996,Arts & Design,Graphic Design,"Bachelor's in Graphic Design, Year: Sophomore","Photography, Videography, Fine Arts, Graphic Design, Music","Graphic Design Capstone Project, Internship Research on Graphic Design, Open-source contribution in Graphic Design",Intern at Adobe
Candidate 754,Arts & Design,Graphic Design,"Master's in Graphic Design, Year: Year 1","Music, Fashion Design, Graphic Design, Fine Arts, Videography","Graphic Design Capstone Project, Internship Research on Graphic Design, Open-source contribution in Graphic Design",Intern at Pixar
Candidate 713,Business & Finance,Supply Chain Management,"Bachelor's in Supply Chain Management, Year: Senior","Taxation, Finance, Real Estate, Supply Chain Management","Supply Chain Management Capstone Project, Internship Research on Supply Chain Management, Open-source contribution in Supply Chain Management",Intern at Goldman Sachs
Candidate 304,Business & Finance,Accounting,"Bachelor's in Accounting, Year: Senior","Investment Banking, Real Estate, Finance, Taxation","Accounting Capstone Project, Internship Research on Accounting, Open-source contribution in Accounting",Intern at Deloitte
Candidate 866,Arts & Design,Graphic Design,"Bachelor's in Graphic Design, Year: Senior","Music, Videography, Photography, Graphic Design","Graphic Design Capstone Project, Internship Research on Graphic Design, Open-source contribution in Graphic Design",Intern at Pixar
Candidate 609,Medical & Life Sciences,Biology,"Bachelor's in Biology, Year: Freshman","Healthcare, Nursing, Biology, Pharmaceutical Sciences",Biology Personal Project,Volunteer at Moderna
Candidate 991,Medical & Life Sciences,Nursing,"Master's in Nursing, Year: Year 1","Biology, Pharmaceutical Sciences, Healthcare, Public Health","Nursing Capstone Project, Internship Research on Nursing, Open-source contribution in Nursing",Intern at Moderna
Candidate 411,Arts & Design,Photography,"Master's in Photography, Year: Year 1","Videography, Fine Arts, Photography, Graphic Design, Fashion Design","Photography Capstone Project, Internship Research on Photography, Open-source contribution in Photography",Intern at Adobe
Candidate 633,Arts & Design,Videography,"Bachelor's in Videography, Year: Freshman","Fine Arts, Fashion Design, Videography, Music, Graphic Design",N/A,N/A
Candidate 924,Business & Finance,Finance,"Bachelor's in Finance, Year: Sophomore","Real Estate, Accounting, Finance","Finance Capstone Project, Internship Research on Finance, Open-source contribution in Finance",Intern at JP Morgan
Candidate 180,Medical & Life Sciences,Public Health,"Master's in Public Health, Year: Year 1","Pharmaceutical Sciences, Biology, Public Health, Nursing, Biomedical Engineering","Public Health Capstone Project, Internship Research on Public Health, Open-source contribution in Public Health",Intern at Mayo Clinic
Candidate 245,Business & Finance,Real Estate,"Bachelor's in Real Estate, Year: Freshman","Investment Banking, Real Estate, Taxation, Accounting, Supply Chain Management",N/A,N/A
Candidate 207,Arts & Design,Music,"Master's in Music, Year: Year 1","Photography, Videography, Fashion Design, Graphic Design, Music","Music Capstone Project, Internship Research on Music, Open-source contribution in Music",Intern at Adobe
Candidate 869,Humanities & Social Sciences,Political Science,"Master's in Political Science, Year: Year 1","Psychology, Political Science, Geography, Sociology, History","Political Science Capstone Project, Internship Research on Political Science, Open-source contribution in Political Science",Intern at United Nations
Candidate 900,Medical & Life Sciences,Public Health,"Master's in Public Health, Year: Year 1","Public Health, Healthcare, Nursing, Biology","Public Health Capstone Project, Internship Research on Public Health, Open-source contribution in Public Health",Intern at Moderna
Candidate 217,Business & Finance,Supply Chain Management,"Master's in Supply Chain Management, Year: Year 1","Accounting, Taxation, Real Estate, Supply Chain Management","Supply Chain Management Capstone Project, Internship Research on Supply Chain Management, Open-source contribution in Supply Chain Management",Intern at Deloitte
Candidate 855,Arts & Design,Videography,"Master's in Videography, Year: Year 1","Photography, Fine Arts, Fashion Design","Videography Capstone Project, Internship Research on Videography, Open-source contribution in Videography",Intern at Spotify
Candidate 496,Medical & Life Sciences,Pharmaceutical Sciences,"Master's in Pharmaceutical Sciences, Year: Year 2","Healthcare, Biology, Nursing, Public Health","Pharmaceutical Sciences Capstone Project, Internship Research on Pharmaceutical Sciences, Open-source contribution in Pharmaceutical Sciences",Intern at CDC
Candidate 809,Humanities & Social Sciences,Sociology,"Bachelor's in Sociology, Year: Senior","International Relations, Political Science, Psychology, Sociology, History","Sociology Capstone Project, Internship Research on Sociology, Open-source contribution in Sociology",Intern at Brookings Institution
Candidate 530,Math & Technology,Computer Science,"Bachelor's in Computer Science, Year: Sophomore","Mechanical Engineering, Electrical Engineering, Software Engineering, Data Science","Computer Science Capstone Project, Internship Research on Computer Science, Open-source contribution in Computer Science",Intern at Microsoft
Candidate 746,Business & Finance,Finance,"Bachelor's in Finance, Year: Junior","Accounting, Investment Banking, Supply Chain Management, Finance, Taxation","Finance Capstone Project, Internship Research on Finance, Open-source contribution in Finance",Intern at JP Morgan
Candidate 459,Medical & Life Sciences,Public Health,"Bachelor's in Public Health, Year: Senior","Healthcare, Biology, Nursing, Public Health, Biomedical Engineering","Public Health Capstone Project, Internship Research on Public Health, Open-source contribution in Public Health",Intern at CDC
Candidate 262,Medical & Life Sciences,Nursing,"Master's in Nursing, Year: Year 1","Biomedical Engineering, Pharmaceutical Sciences, Public Health, Biology","Nursing Capstone Project, Internship Research on Nursing, Open-source contribution in Nursing",Intern at Johnson & Johnson
Candidate 276,Math & Technology,Mathematics,"Bachelor's in Mathematics, Year: Senior","Data Science, Mathematics, Computer Science, Software Engineering","Mathematics Capstone Project, Internship Research on Mathematics, Open-source contribution in Mathematics",Intern at Apple
Candidate 125,Math & Technology,Computer Science,"Bachelor's in Computer Science, Year: Sophomore","Mechanical Engineering, Electrical Engineering, Computer Science","Computer Science Capstone Project, Internship Research on Computer Science, Open-source contribution in Computer Science",Intern at Meta
Candidate 345,Arts & Design,Music,"Bachelor's in Music, Year: Freshman","Videography, Music, Graphic Design, Photography",N/A,N/A
Candidate 344,Humanities & Social Sciences,International Relations,"Bachelor's in International Relations, Year: Sophomore","Political Science, International Relations, Sociology, Psychology","International Relations Capstone Project, Internship Research on International Relations, Open-source contribution in International Relations",Intern at Brookings Institution
Candidate 426,Medical & Life Sciences,Biology,"Master's in Biology, Year: Year 2","Biomedical Engineering, Pharmaceutical Sciences, Biology, Nursing","Biology Capstone Project, Internship Research on Biology, Open-source contribution in Biology",Intern at Moderna
Candidate 557,Business & Finance,Taxation,"Master's in Taxation, Year: Year 1","Accounting, Investment Banking, Supply Chain Management, Taxation","Taxation Capstone Project, Internship Research on Taxation, Open-source contribution in Taxation",Intern at Goldman Sachs
Candidate 965,Business & Finance,Taxation,"Bachelor's in Taxation, Year: Junior","Finance, Accounting, Investment Banking, Taxation, Supply Chain Management","Taxation Capstone Project, Internship Research on Taxation, Open-source contribution in Taxation",Intern at Goldman Sachs
Candidate 536,Medical & Life Sciences,Healthcare,"Master's in Healthcare, Year: Year 2","Public Health, Biomedical Engineering, Nursing, Biology","Healthcare Capstone Project, Internship Research on Healthcare, Open-source contribution in Healthcare",Intern at CDC
Candidate 704,Humanities & Social Sciences,History,"Bachelor's in History, Year: Junior","Geography, Political Science, Psychology","History Capstone Project, Internship Research on History, Open-source contribution in History",Intern at Brookings Institution
Candidate 222,Math & Technology,Mathematics,"Bachelor's in Mathematics, Year: Junior","Mathematics, Software Engineering, Mechanical Engineering, Electrical Engineering, Data Science","Mathematics Capstone Project, Internship Research on Mathematics, Open-source contribution in Mathematics",Intern at Tesla
Candidate 395,Arts & Design,Fine Arts,"Bachelor's in Fine Arts, Year: Freshman","Graphic Design, Photography, Music",N/A,N/A
Candidate 832,Arts & Design,Photography,"Bachelor's in Photography, Year: Junior","Fine Arts, Videography, Music, Photography","Photography Capstone Project, Internship Research on Photography, Open-source contribution in Photography",Intern at Warner Bros
Candidate 927,Business & Finance,Supply Chain Management,"Bachelor's in Supply Chain Management, Year: Sophomore","Finance, Real Estate, Supply Chain Management, Accounting","Supply Chain Management Capstone Project, Internship Research on Supply Chain Management, Open-source contribution in Supply Chain Management",Intern at Deloitte
Candidate 991,Humanities & Social Sciences,History,"Master's in History, Year: Year 1","Psychology, Political Science, International Relations, Geography","History Capstone Project, Internship Research on History, Open-source contribution in History",Intern at Amnesty International
Candidate 296,Humanities & Social Sciences,History,"Master's in History, Year: Year 1","International Relations, Psychology, History, Geography","History Capstone Project, Internship Research on History, Open-source contribution in History",Intern at United Nations
Candidate 666,Math & Technology,Mathematics,"Bachelor's in Mathematics, Year: Junior","Data Science, Computer Science, Mathematics","Mathematics Capstone Project, Internship Research on Mathematics, Open-source contribution in Mathematics",Intern at Microsoft
Candidate 884,Math & Technology,Software Engineering,"Master's in Software Engineering, Year: Year 1","Mathematics, Mechanical Engineering, Computer Science, Software Engineering, Data Science","Software Engineering Capstone Project, Internship Research on Software Engineering, Open-source contribution in Software Engineering",Intern at Meta
Candidate 971,Arts & Design,Music,"Bachelor's in Music, Year: Sophomore","Graphic Design, Videography, Fashion Design","Music Capstone Project, Internship Research on Music, Open-source contribution in Music",Intern at Spotify
Candidate 904,Medical & Life Sciences,Public Health,"Bachelor's in Public Health, Year: Sophomore","Pharmaceutical Sciences, Healthcare, Biology, Public Health, Nursing","Public Health Capstone Project, Internship Research on Public Health, Open-source contribution in Public Health",Intern at Pfizer
Candidate 956,Medical & Life Sciences,Biomedical Engineering,"Master's in Biomedical Engineering, Year: Year 1","Healthcare, Nursing, Biomedical Engineering, Biology","Biomedical Engineering Capstone Project, Internship Research on Biomedical Engineering, Open-source contribution in Biomedical Engineering",Intern at CDC
Candidate 754,Humanities & Social Sciences,International Relations,"Bachelor's in International Relations, Year: Senior","History, Sociology, Geography","International Relations Capstone Project, Internship Research on International Relations, Open-source contribution in International Relations",Intern at Brookings Institution
Candidate 272,Medical & Life Sciences,Biology,"Bachelor's in Biology, Year: Sophomore","Public Health, Biology, Healthcare, Nursing","Biology Capstone Project, Internship Research on Biology, Open-source contribution in Biology",Intern at Johnson & Johnson
Candidate 771,Arts & Design,Videography,"Bachelor's in Videography, Year: Sophomore","Fine Arts, Fashion Design, Graphic Design","Videography Capstone Project, Internship Research on Videography, Open-source contribution in Videography",Intern at Spotify
Candidate 382,Arts & Design,Graphic Design,"Bachelor's in Graphic Design, Year: Senior","Graphic Design, Fine Arts, Fashion Design","Graphic Design Capstone Project, Internship Research on Graphic Design, Open-source contribution in Graphic Design",Intern at Warner Bros
Candidate 920,Humanities & Social Sciences,Geography,"Master's in Geography, Year: Year 2","Political Science, Sociology, Psychology, History, Geography","Geography Capstone Project, Internship Research on Geography, Open-source contribution in Geography",Intern at National Geographic
Candidate 104,Math & Technology,Mechanical Engineering,"Master's in Mechanical Engineering, Year: Year 2","Mechanical Engineering, Mathematics, Data Science, Computer Science","Mechanical Engineering Capstone Project, Internship Research on Mechanical Engineering, Open-source contribution in Mechanical Engineering",Intern at Google
Candidate 627,Arts & Design,Fine Arts,"Bachelor's in Fine Arts, Year: Freshman","Fine Arts, Videography, Photography, Fashion Design, Music",N/A,N/A
Candidate 344,Arts & Design,Fashion Design,"Master's in Fashion Design, Year: Year 1","Fashion Design, Fine Arts, Videography, Graphic Design, Photography","Fashion Design Capstone Project, Internship Research on Fashion Design, Open-source contribution in Fashion Design",Intern at Disney
Candidate 542,Humanities & Social Sciences,History,"Bachelor's in History, Year: Senior","Psychology, Geography, History","History Capstone Project, Internship Research on History, Open-source contribution in History",Intern at Brookings Institution
Candidate 187,Humanities & Social Sciences,Psychology,"Bachelor's in Psychology, Year: Senior","Geography, Psychology, History, Sociology, Political Science","Psychology Capstone Project, Internship Research on Psychology, Open-source contribution in Psychology",Intern at Amnesty International
Candidate 159,Math & Technology,Mechanical Engineering,"Bachelor's in Mechanical Engineering, Year: Senior","Mechanical Engineering, Electrical Engineering, Software Engineering, Computer Science","Mechanical Engineering Capstone Project, Internship Research on Mechanical Engineering, Open-source contribution in Mechanical Engineering",Intern at Microsoft
Candidate 248,Arts & Design,Photography,"Master's in Photography, Year: Year 1","Graphic Design, Photography, Fashion Design","Photography Capstone Project, Internship Research on Photography, Open-source contribution in Photography",Intern at Pixar
Candidate 338,Medical & Life Sciences,Healthcare,"Master's in Healthcare, Year: Year 1","Healthcare, Biology, Biomedical Engineering","Healthcare Capstone Project, Internship Research on Healthcare, Open-source contribution in Healthcare",Intern at Moderna
Candidate 132,Arts & Design,Photography,"Master's in Photography, Year: Year 1","Fashion Design, Music, Photography, Videography, Fine Arts","Photography Capstone Project, Internship Research on Photography, Open-source contribution in Photography",Intern at Spotify
Candidate 220,Math & Technology,Computer Science,"Bachelor's in Computer Science, Year: Sophomore","Electrical Engineering, Mathematics, Data Science, Computer Science","Computer Science Capstone Project, Internship Research on Computer Science, Open-source contribution in Computer Science",Intern at Microsoft
Candidate 457,Math & Technology,Computer Science,"Master's in Computer Science, Year: Year 2","Computer Science, Data Science, Software Engineering","Computer Science Capstone Project, Internship Research on Computer Science, Open-source contribution in Computer Science",Intern at Amazon
Candidate 651,Business & Finance,Taxation,"Master's in Taxation, Year: Year 2","Finance, Real Estate, Investment Banking, Taxation, Accounting","Taxation Capstone Project, Internship Research on Taxation, Open-source contribution in Taxation",Intern at McKinsey
Candidate 655,Business & Finance,Taxation,"Master's in Taxation, Year: Year 2","Real Estate, Accounting, Supply Chain Management","Taxation Capstone Project, Internship Research on Taxation, Open-source contribution in Taxation",Intern at Goldman Sachs
Candidate 683,Humanities & Social Sciences,Political Science,"Master's in Political Science, Year: Year 2","History, International Relations, Political Science","Political Science Capstone Project, Internship Research on Political Science, Open-source contribution in Political Science",Intern at Amnesty International
Candidate 889,Medical & Life Sciences,Biology,"Master's in Biology, Year: Year 1","Biology, Biomedical Engineering, Public Health","Biology Capstone Project, Internship Research on Biology, Open-source contribution in Biology",Intern at CDC
Candidate 797,Business & Finance,Taxation,"Master's in Taxation, Year: Year 1","Finance, Taxation, Investment Banking, Accounting, Real Estate","Taxation Capstone Project, Internship Research on Taxation, Open-source contribution in Taxation",Intern at Morgan Stanley
Candidate 319,Math & Technology,Computer Science,"Master's in Computer Science, Year: Year 2","Data Science, Electrical Engineering, Software Engineering, Computer Science","Computer Science Capstone Project, Internship Research on Computer Science, Open-source contribution in Computer Science",Intern at Meta
Candidate 354,Math & Technology,Mathematics,"Master's in Mathematics, Year: Year 2","Mechanical Engineering, Data Science, Software Engineering, Mathematics, Electrical Engineering","Mathematics Capstone Project, Internship Research on Mathematics, Open-source contribution in Mathematics",Intern at Amazon
Candidate 613,Math & Technology,Mechanical Engineering,"Bachelor's in Mechanical Engineering, Year: Sophomore","Computer Science, Electrical Engineering, Mathematics","Mechanical Engineering Capstone Project, Internship Research on Mechanical Engineering, Open-source contribution in Mechanical Engineering",Intern at Apple
Candidate 861,Humanities & Social Sciences,History,"Master's in History, Year: Year 1","Geography, Political Science, Psychology","History Capstone Project, Internship Research on History, Open-source contribution in History",Intern at Brookings Institution
Candidate 343,Business & Finance,Real Estate,"Bachelor's in Real Estate, Year: Senior","Finance, Supply Chain Management, Investment Banking, Taxation, Real Estate","Real Estate Capstone Project, Internship Research on Real Estate, Open-source contribution in Real Estate",Intern at JP Morgan
Candidate 425,Business & Finance,Taxation,"Master's in Taxation, Year: Year 1","Supply Chain Management, Accounting, Real Estate, Taxation","Taxation Capstone Project, Internship Research on Taxation, Open-source contribution in Taxation",Intern at Deloitte
Candidate 172,Arts & Design,Music,"Bachelor's in Music, Year: Senior","Photography, Videography, Graphic Design","Music Capstone Project, Internship Research on Music, Open-source contribution in Music",Intern at Spotify
Candidate 504,Arts & Design,Graphic Design,"Bachelor's in Graphic Design, Year: Freshman","Fashion Design, Music, Fine Arts, Videography",N/A,N/A
Candidate 337,Arts & Design,Music,"Bachelor's in Music, Year: Freshman","Photography, Graphic Design, Fine Arts",N/A,N/A
Candidate 117,Business & Finance,Finance,"Master's in Finance, Year: Year 2","Taxation, Accounting, Real Estate, Investment Banking","Finance Capstone Project, Internship Research on Finance, Open-source contribution in Finance",Intern at Goldman Sachs
Candidate 479,Medical & Life Sciences,Biomedical Engineering,"Bachelor's in Biomedical Engineering, Year: Freshman","Biology, Pharmaceutical Sciences, Public Health, Nursing, Healthcare",N/A,N/A
Candidate 626,Medical & Life Sciences,Public Health,"Bachelor's in Public Health, Year: Junior","Healthcare, Nursing, Public Health, Pharmaceutical Sciences","Public Health Capstone Project, Internship Research on Public Health, Open-source contribution in Public Health",Intern at Moderna
Candidate 791,Arts & Design,Photography,"Bachelor's in Photography, Year: Junior","Photography, Music, Fine Arts","Photography Capstone Project, Internship Research on Photography, Open-source contribution in Photography",Intern at Pixar
Candidate 191,Business & Finance,Real Estate,"Master's in Real Estate, Year: Year 2","Real Estate, Supply Chain Management, Finance, Accounting, Taxation","Real Estate Capstone Project, Internship Research on Real Estate, Open-source contribution in Real Estate",Intern at Goldman Sachs
Candidate 578,Humanities & Social Sciences,Psychology,"Master's in Psychology, Year: Year 2","Sociology, Geography, History, International Relations","Psychology Capstone Project, Internship Research on Psychology, Open-source contribution in Psychology",Intern at Amnesty International
Candidate 257,Humanities & Social Sciences,Psychology,"Bachelor's in Psychology, Year: Senior","Political Science, History, Geography","Psychology Capstone Project, Internship Research on Psychology, Open-source contribution in Psychology",Intern at Amnesty International
Candidate 329,Arts & Design,Graphic Design,"Bachelor's in Graphic Design, Year: Sophomore","Photography, Music, Graphic Design","Graphic Design Capstone Project, Internship Research on Graphic Design, Open-source contribution in Graphic Design",Intern at Warner Bros
Candidate 282,Math & Technology,Computer Science,"Master's in Computer Science, Year: Year 1","Data Science, Computer Science, Electrical Engineering, Mechanical Engineering, Mathematics","Computer Science Capstone Project, Internship Research on Computer Science, Open-source contribution in Computer Science",Intern at Microsoft
